"","ID","Year","Title","Abstract"
"1","36176328",2022,"NMDAR autoantibodies in psychiatric disease - An immunopsychiatric continuum and potential predisposition for disease pathogenesis.","N -Methyl-d-Aspartate-receptor (NMDAR) antibody encephalitis is a disease discovered two decades ago. Our knowledge about it has recently deepened dramatically. However  the significance of NMDAR antibodies in psychiatric disease cannot be determined if there are no clear indications of brain inflammation or an autoimmune encephalitis mediated by NMDAR antibodies. Furthermore  the long-term interaction and connection between these two disease entities are unclear. In this paper we aim to elucidate the relationship between these disease entities. We propose two distinct models that explain the on the one hand a condition in which a minor inflammatory state as in psychiatric disease culminates in a severe state of inflammation characterized by NMDAR encephalitis. On the other hand  we postulate a model in which an NMDAR encephalitis might later create favorable conditions for inducing psychiatric disease. These models should be kept in mind for further investigations examining the long-term outcome of NMDAR autoantibody immunity in the brain and its functions."
"2","36174451",2022,"Cancer activates microglia to the same extent as chronic stress throughout stress neurocircuitry in a mouse model of breast cancer.","The prevalence of stress-related comorbidities is increased approximately 3-fold in cancer patients compared to the general population. There is a scarcity of research focusing on the biological brain changes caused by the cancer due to the assumption that psychological symptoms are solely caused by the stress of a cancer diagnosis. Recent clinical evidence indicates that declines in cognition and increases in mood symptoms occur prior to an individual receiving a cancer diagnosis  suggesting that the cancer itself may play a role in mediating biological brain change. Furthermore  the presence of a tumour may change the brain response to environmental stressors unrelated to a cancer diagnosis. Using a syngeneic  orthotopic mouse model of breast cancer  we compared the impact of mammary tumours and chronic restraint stress on microglial and astrocytic activation throughout stress-relevant neurocircuitry. We also examined whether changes in microglial and astrocytic activation overlapped with changes in chronic neuronal activity. We show that cancer and chronic restraint stress activates microglia to the same magnitude in the same subcortical brain regions  and that this activation correlates with stress coping behaviours. The findings suggest that in some cancer patients  microglia may be activated in brain regions involved in interpreting and responding to psychological distress before they are aware of their diagnosis. In contrast  cancer reduced astrocyte reactivity in two cortical brain regions where there were no clear changes in response to chronic restraint stress. Taken together  it is likely that interventions that aim to improve anxiety and stress in cancer patients by targeting glial responses to cancer would need to be cell-specific; reducing microglial activation and/or stimulating astrocytic activation."
"3","36170741",2022,"Immunopsychiatry of Infected Ears, Sinuses, Skulls, and Meninges: Mast Cells, Mozart, Van Gogh.","Medical psychiatry acquires more prominence in the biological field by new anatomical insights into the wrappings of the brain: meninges  but also Meningo-Calvarial Channels (MCCs) connecting the former with the bone marrows' also neuronally steered  functions. The skull-bone's meningeal arteries through migrating and orchestrating mast cells within a framework stressing their relations with arteries (Treviranus 2012-21) could explain enigmatic phenomena like migrainous and post-injury Cortical Spreading Depressions (CSD) or the Reversible Cerebral Vasoconstriction Syndrome (RCVS) escalating to ""PRES"". The skull might be accessed along chronic (para-)infectious paths resulting in Skull Bone Osteomyelitis (SBO) from the ear-nose-throat  dental and other microbiomes. Such paths seem promoted by compromised innate immune defenses: by ""Mendelian"" susceptibility  and/or acquired anti-INF-γ- or other auto-immunity or various microbial ""Trojans"" of e. g. meningeal myelo- and lymphocytes. These interact e. g. from the calvarial marrow niches onward. Hereby competing local and ""intentional"" intruding mast cells - by disturbing (or ingeniously boosting) cortical development and functioning - acquire relevance by interacting with arteries (Treviranus 2018  2021). This predicts findings in behavior (Fitzpatrick & Morrow 2017) an ""aortal"" arterial biomechanical foundation of parasympathetic reverse arterio-intramural cerebro-interstitial drainage by CIMURAF/IPAD-2.0 (Treviranus 2018-21). Here the recent physiological re-conceptions of the skull illuminate own case histories through a gamut of possibly relevant neuro(-surgico)-psychiatric challenges. Among these meningo-cerebral immune  vasospastic  and cystic processes some generate broad ""experiential"" hallucinations  which may slowly transit to true psychoses through ""perfect crime lesions"" of neurons and glia by tryptase-armed mast cells descending into parenchyma often congested by ""push-back"". These emerging hypotheses coalesce in advancing an integrative macro-medical psychiatry and even the pathography of Van Gogh and Mozart stressing the benign and creative roles of mast cells."
"4","36054787",2022,"Dietary intake in children on the autism spectrum is altered and linked to differences in autistic traits and sensory processing styles.","Diets of children and adolescents on the autism spectrum often differ when compared to their non-autistic peers. Most dietary studies have been limited by small sample sizes and rarely assess the heterogeneity of autism. Addressing this gap  this study compared the anthropometrics  dietary composition  dietary quality  and food variety of 154 Australian children and adolescents on the spectrum and 213 non-autistic children (71 siblings and 142 unrelated controls). Beyond the case-control approach  within-group comparisons assessed the influence of autism clinical presentations and sensory processing styles on body mass index (BMI) and measures of dietary intake among those on the spectrum. In this word first study of diet that included between-group comparisons with non-autistic peers (siblings and an unrelated comparison group) and within-autism group comparisons  we found that children on the spectrum consumed limited variety and lower quality of food and non-autistic siblings also ate comparably higher levels of energy-dense  nutrient poor food  and less diary. This may be due to autistic traits influencing family's diets or shared sensory sensitivities driving dietary intake. Within the autism group  higher autistic traits were associated with lower BMIs and a specific dietary pattern higher in simple carbohydrates and lower in unprocessed protein. Contrastingly  greater sensitivity to sensory stimuli was associated with a healthier diet. Increased age was linked to more varied diets but also diets higher in saturated fats and energy-dense  nutrient poor foods. Overall  this research highlights that potential mediators of dietary intake  such as familial influences  autistic traits  sensory processing styles  age and sex  need to be considered when assessing diet in the autistic population. LAY SUMMARY: In this study of dietary differences linked to autism  children  and teenagers on the spectrum ate fewer different foods and were less likely to eat recommended amounts of fruits and vegetables when compared to non-autistic siblings and unrelated children and teenagers. There were also family differences  in that those on the spectrum and their siblings ate more unhealthy foods and less dairy. Among those on the spectrum  dietary differences were linked to age  sex  autistic traits and sensory processing styles."
"5","35711412",2022,"Immunopsychiatry - Innovative Technology to Characterize Disease Activity in Autoantibody-Associated Psychiatric Diseases.","Anti-neural autoantibody-associated psychiatric disease is a novel field in immunopsychiatry that has been attracting attention thanks to its potentially positive therapeutic outcome and distinct prognosis compared with non-organic psychiatric disease. This review aims to describe recent novel technological developments for improving diagnostics in the field of autoantibody-related psychiatric disease. We screened for relevant articles in PubMed for this narrative article. We focused on research methods such as neuroimaging  immune cells and inflammation markers  and molecular biomarkers in human biofluids like serum and cerebrospinal fluid and plasma proteomics. We introduce several novel methods for investigating autoinflammation with the aim of optimizing therapies for autoantibody-associated psychiatric disease. We describe measuring the translocator protein 18kDa in activated microglia via positron emission tomography imaging  brain volumetric assessment  flow cell cytometry of cerebrospinal fluid and blood  and blood biological probes as well as psychopathological cues to help us gain insights into diagnosing inflammation and brain damage better in psychiatric patients presenting a suspected autoimmune etiology. Our short methodological review provides an overview of recent developments in the field of autoantibody-related immunopsychiatry. More research is needed to prove their usefulness in diagnosing and treating autoantibody-associated psychiatric disease and its subtypes."
"6","35492247",2022,"Autoantibodies against NCAM1 from patients with schizophrenia cause schizophrenia-related behavior and changes in synapses in mice.","From genetic and etiological studies  autoimmune mechanisms underlying schizophrenia are suspected; however  the details remain unclear. In this study  we describe autoantibodies against neural cell adhesion molecule (NCAM1) in patients with schizophrenia (5.4%  cell-based assay; 6.7%  ELISA) in a Japanese cohort (n = 223). Anti-NCAM1 autoantibody disrupts both NCAM1-NCAM1 and NCAM1-glial cell line-derived neurotrophic factor (GDNF) interactions. Furthermore  the anti-NCAM1 antibody purified from patients with schizophrenia interrupts NCAM1-Fyn interaction and inhibits phosphorylation of FAK  MEK1  and ERK1 when introduced into the cerebrospinal fluid of mice and also reduces the number of spines and synapses in frontal cortex. In addition  it induces schizophrenia-related behavior in mice  including deficient pre-pulse inhibition and cognitive impairment. In conclusion  anti-NCAM1 autoantibodies in patients with schizophrenia cause schizophrenia-related behavior and changes in synapses in mice. These antibodies may be a potential therapeutic target and serve as a biomarker to distinguish a small but treatable subgroup in heterogeneous patients with schizophrenia."
"7","35452794",2022,"Interleukin-6 receptor antagonists in immunopsychiatry: Can they lead to increased interleukin-6 in the central nervous system (CNS) and worsening psychiatric symptoms?","NA"
"8","35307503",2022,"A primer on common analytic concerns in psychoneuroimmunology: Alternatives and paths forward.","NA"
"9","35199050",2022,"Disrupting circadian rhythms promotes cancer-induced inflammation in mice.","Disruption of circadian rhythms occurs in rotating shift-work  jetlag  and in individuals with irregular sleep schedules. Circadian disruption is known to alter inflammatory responses and impair immune function. However  there is limited understanding of how circadian disruption modulates cancer-induced inflammation. Inflammation is a hallmark of cancer and is linked to worse prognosis and impaired brain function in cancer patients. Here  we investigated the effect of circadian disruption on cancer-induced inflammation in an orthotopic breast cancer model. Using a validated chronic jetlag protocol that advances the light-cycle by 8 ​h every 2 days to disrupt circadian rhythms  we found that circadian disruption alters cancer-induced inflammation in a tissue-specific manner  increasing inflammation in the body and brain while decreasing inflammation within the tumor tissue. Circadian disruption did not affect inflammation in mice without tumors  suggesting that the impact of circadian disruption may be particularly detrimental in the context of underlying inflammatory conditions  such as cancer. Importantly  circadian disruption did not affect tumor burden  suggesting that increased inflammation was not a result of increased cancer progression. Overall  these findings identify the importance of healthy circadian rhythms for limiting cancer-induced inflammation."
"10","35199049",2022,"The role of yoga in inflammatory markers.","Yoga is an ancient system for integrating the mind  body  and spirit. In the  hatha  yoga  ashtanga  tradition (the eight limb Patanjali Yoga)  three of the limbs are meditation  breathwork ( pranayama ) and physical postures ( asana)   which are widely practised in yoga classes. The benefits of yoga for mental and physical health are rooted in the practice's origins: in yoga  stress is said to be the root of all diseases. The established fields of psychoneuroimmunology and immunopsychiatry study the interplay between the immune system and mood or mental states. This mini-review has shifted the emphasis from research that focuses on yoga's benefits for stress  the most commonly studied outcome of yoga research  to a summary of the research on the effects of yoga practices on the immune system. The current literature bears strong evidence for the benefits of yoga on the levels of circulating cortisol and classical inflammatory markers  such as C-reactive protein (CRP) and cytokines such as interleukin-1 beta (IL-1β)  interleukin 6 (IL-6)  tumour necrosis factor-alpha (TNF-α) and interferon-gamma (INF-γ). The evidence for other less studied markers  telomerase activity  β-endorphins  Immunoglobulin A (IgA) and brain-derived neurotrophic factor (BDNF) is also growing. This mini-review centres around the interplay between yoga and these markers in stress management and depression  vascular and immune function in the older population  cardiovascular and metabolic diseases  auto-immune diseases  breast cancer and pregnancy. Overall  the literature examined reveals the novelty of this field of research and sheds light on methodological challenges; however  it uncovers the potential for yoga to be used as adjuvant therapy in conditions with an inflammatory component."
