"","ID","Title"
"1","36176328","NMDAR autoantibodies in psychiatric disease - An immunopsychiatric continuum and potential predisposition for disease pathogenesis."
"2","36174451","Cancer activates microglia to the same extent as chronic stress throughout stress neurocircuitry in a mouse model of breast cancer."
"3","36170741","Immunopsychiatry of Infected Ears, Sinuses, Skulls, and Meninges: Mast Cells, Mozart, Van Gogh."
"4","36054787","Dietary intake in children on the autism spectrum is altered and linked to differences in autistic traits and sensory processing styles."
"5","35711412","Immunopsychiatry - Innovative Technology to Characterize Disease Activity in Autoantibody-Associated Psychiatric Diseases."
"6","35492247","Autoantibodies against NCAM1 from patients with schizophrenia cause schizophrenia-related behavior and changes in synapses in mice."
"7","35452794","Interleukin-6 receptor antagonists in immunopsychiatry: Can they lead to increased interleukin-6 in the central nervous system (CNS) and worsening psychiatric symptoms?"
"8","35307503","A primer on common analytic concerns in psychoneuroimmunology: Alternatives and paths forward."
"9","35199050","Disrupting circadian rhythms promotes cancer-induced inflammation in mice."
"10","35199049","The role of yoga in inflammatory markers."
"11","35130814","Immunopsychiatry: an update on autoimmune encephalitis for neuropsychiatrists."
"12","35039006","NSAID use and unnatural deaths after cancer diagnosis: a nationwide cohort study in Sweden."
"13","34921784","Immunopsychiatry in 2021: premise to promise, and back again."
"14","34875343","Clocking onto chemotherapy to enhance cancer treatment."
"15","34801117","Antipsychotics and COVID-19: the debate goes on - Authors' reply."
"16","34778569","Research priorities for neuroimmunology: identifying the key research questions to be addressed by 2030."
"17","34668170","Toward the unity of pathological and exertional fatigue: A predictive processing model."
"18","34607723","Monitoring inflammation in psychiatry: Caveats and advice."
"19","34607588","Measuring clinical outcomes in children with pediatric acute-onset neuropsychiatric syndrome: data from a 2-5 year follow-up study."
"20","34589805","The future of immunopsychiatry: Three milestones to clinical innovation."
"21","34589785","Building a replicable and clinically-impactful immunopsychiatry: Methods, phenotyping, and theory integration."
"22","34505378","Psychiatric symptoms and cognitive impairment in ""Long COVID"": the relevance of immunopsychiatry."
"23","34274033","Mental disorders and risk of COVID-19-related mortality, hospitalisation, and intensive care unit admission: a systematic review and meta-analysis."
"24","33882327","Inflammation and Depression: A Public Health Perspective."
"25","33735406","Applicability, potential and limitations of TSPO PET imaging as a clinical immunopsychiatry biomarker."
"26","33613949","Inflammatory bowel disease psychological support pilot reduces inflammatory bowel disease symptoms and improves psychological wellbeing."
"27","33559023","A Two-to-Five Year Follow-Up of a Pediatric Acute-Onset Neuropsychiatric Syndrome Cohort."
"28","33548496","The three frontlines against COVID-19: Brain, Behavior, and Immunity."
"29","33536130","Relationship Between Serum NMDA Receptor Antibodies and Response to Antipsychotic Treatment in First-Episode Psychosis."
"30","33493625","Viewpoint | European COVID-19 exit strategy for people with severe mental disorders: Too little, but not yet too late."
"31","33386229","Brain-immune crosstalk in the treatment of major depressive disorder."
"32","33381448","The Anti-Inflammatory Drug Aspirin Does Not Protect Against Chemotherapy-Induced Memory Impairment by Paclitaxel in Mice."
"33","33358982","Letter to editor about the article ""Do psychiatric patients experience more psychiatric symptoms during COVID-19 pandemic and lockdown? A case-control study with service and research implications for immunopsychiatry"" (Hao et al., 2020)."
"34","33342465","How handling extreme C-reactive protein (CRP) values and regularization influences CRP and depression criteria associations in network analyses."
"35","33227660","Interleukin-6 response to insulin-induced hypoglycemia is associated with hypothalamic-pituitary-adrenal axis activation."
"36","33192745","Editorial: The Role of Inflammation in the Etiology and Treatment of Schizophrenia."
"37","33190236","Trajectory of change in brain complement factors from neonatal to young adult humans."
"38","32994248","Longitudinal exploration of cancer-related cognitive impairment in patients with newly diagnosed aggressive lymphoma: protocol for a feasibility study."
"39","32928535","[Immunopsychiatry and SARS-CoV-2 pandemic: Links and possible consequences]."
"40","32900363","Aspirin and other non-steroidal anti-inflammatory drugs and depression, anxiety, and stress-related disorders following a cancer diagnosis: a nationwide register-based cohort study."
"41","32851504","Copeptin response to hypoglycemic stress is linked to prolactin activation in children."
"42","32578885","Interactions between perceptions of fatigue, effort, and affect decrease knee extensor endurance performance following upper body motor activity, independent of changes in neuromuscular function."
"43","32498754","Inflammation as a treatment target in mood disorders: review."
"44","32479992","Identifying causal role of COVID-19 in immunopsychiatry models."
"45","32425818","Commentary: Neurobiology and Therapeutic Potential of Cyclooxygenase-2 (COX-2) Inhibitors for Inflammation in Neuropsychiatric Disorders."
